date,federal_funds_rate
11/1/2010,0.19
12/1/2010,0.18
1/1/2011,0.17
2/1/2011,0.16
3/1/2011,0.14
4/1/2011,0.1
5/1/2011,0.09
6/1/2011,0.09
7/1/2011,0.07
8/1/2011,0.1
9/1/2011,0.08
10/1/2011,0.07
11/1/2011,0.08
12/1/2011,0.07
1/1/2012,0.08
2/1/2012,0.1
3/1/2012,0.13
4/1/2012,0.14
5/1/2012,0.16
6/1/2012,0.16
7/1/2012,0.16
8/1/2012,0.13
9/1/2012,0.14
10/1/2012,0.16
11/1/2012,0.16
12/1/2012,0.16
1/1/2013,0.14
2/1/2013,0.15
3/1/2013,0.14
4/1/2013,0.15
5/1/2013,0.11
6/1/2013,0.09
7/1/2013,0.09
8/1/2013,0.08
9/1/2013,0.08
10/1/2013,0.09
11/1/2013,0.08
12/1/2013,0.09
1/1/2014,0.07
2/1/2014,0.07
3/1/2014,0.08
4/1/2014,0.09
5/1/2014,0.09
6/1/2014,0.1
7/1/2014,0.09
8/1/2014,0.09
9/1/2014,0.09
10/1/2014,0.09
11/1/2014,0.09
12/1/2014,0.12
1/1/2015,0.11
2/1/2015,0.11
3/1/2015,0.11
4/1/2015,0.12
5/1/2015,0.12
6/1/2015,0.13
7/1/2015,0.13
8/1/2015,0.14
9/1/2015,0.14
10/1/2015,0.12
11/1/2015,0.12
12/1/2015,0.24
1/1/2016,0.34
2/1/2016,0.38
3/1/2016,0.36
4/1/2016,0.37
5/1/2016,0.37
6/1/2016,0.38
7/1/2016,0.39
8/1/2016,0.4
9/1/2016,0.4
10/1/2016,0.4
11/1/2016,0.41
12/1/2016,0.54
